2015
March,20.1747(9.0278,14.5706),22.1925(4.66939,3.73224),185.689(0,265.922)
April,20.8707(9.91891,15.0733),19.0962(4.1731,3.37336),125.645(0,192.16)
May,16.7707(10.7395,12.1128),14.7714(4.66463,3.84818),107.116(0,162.663)
June,17.9883(10.3996,12.9916),14.8312(4.32314,3.54551),81.5565(0,127.505)
July,16.2311(9.4293,11.7224),13.454(3.89533,3.06305),79.4443(0,120.887)
August,17.6932(9.94664,12.7784),14.012(4.06198,3.21242),101.829(0,163.076)
September,18.8502(10.2228,13.614),15.3856(5.29416,4.18081),167.069(0,248.272)
October,17.9951(9.09751,12.9965),18.9682(4.76985,3.70487),191.059(0,269.291)
November,20.2113(9.46581,14.5971),20.8374(4.97639,3.91802),238.996(0,329.953)
December,21.6395(8.60008,15.6286),21.9187(5.62424,4.44553),265.549(0,348.22)
